influencer_id,name,category,gender,follower_count,platform,payout_basis
inf_001,Ananya Reddy,Yoga,Female,3213604,Instagram,Post
inf_002,Diya Mehta,Bodybuilding,Female,53925,Instagram,Order
inf_003,Diya Kumar,Yoga,Female,57352,Instagram,Order
inf_004,Kiara Singh,Bodybuilding,Female,164852,Instagram,Order
inf_005,Aisha Kumar,Fitness,Female,307580,YouTube,Order
inf_006,Isha Kumar,Bodybuilding,Female,476362,Twitter,Order
inf_007,Saanvi Desai,Yoga,Female,79820,Twitter,Order
inf_008,Aisha Mehta,Lifestyle,Female,89263,Instagram,Order
inf_009,Aditya Reddy,Health & Wellness,Male,341838,Instagram,Order
inf_010,Kabir Mehta,Nutrition,Male,397355,Instagram,Order
inf_011,Dev Desai,Bodybuilding,Male,765133,Instagram,Post
inf_012,Zoya Joshi,Fitness,Female,355662,Instagram,Order
inf_013,Diya Sharma,Lifestyle,Female,21816,YouTube,Order
inf_014,Priya Sharma,Nutrition,Female,82040,Instagram,Order
inf_015,Saanvi Singh,Lifestyle,Female,560143,Twitter,Post
inf_016,Rohan Joshi,Bodybuilding,Male,423015,Instagram,Order
inf_017,Reyansh Reddy,Bodybuilding,Male,546839,Instagram,Post
inf_018,Aditya Sharma,Yoga,Male,356287,Instagram,Order
inf_019,Aditya Kumar,Fitness,Male,265689,Instagram,Order
inf_020,Saanvi Desai,Lifestyle,Female,6656,Instagram,Order
inf_021,Rohan Mehta,Health & Wellness,Male,76795,Instagram,Order
inf_022,Saanvi Gupta,Nutrition,Female,511151,YouTube,Post
inf_023,Aditya Sharma,Nutrition,Male,68404,Instagram,Order
inf_024,Zoya Nair,Yoga,Female,78497,Instagram,Order
inf_025,Aditya Singh,Lifestyle,Male,40436,Instagram,Order
inf_026,Rohan Kumar,Bodybuilding,Male,916780,YouTube,Post
inf_027,Zara Singh,Fitness,Female,434183,YouTube,Order
inf_028,Isha Reddy,Yoga,Female,57697,Twitter,Order
inf_029,Arjun Joshi,Health & Wellness,Male,87452,Twitter,Order
inf_030,Zoya Kumar,Lifestyle,Female,39580,Instagram,Order
inf_031,Kabir Joshi,Fitness,Male,30827,Instagram,Order
inf_032,Rohan Nair,Bodybuilding,Male,575604,YouTube,Post
inf_033,Zara Nair,Bodybuilding,Female,6511524,Instagram,Post
inf_034,Kabir Desai,Lifestyle,Male,72809,Instagram,Order
inf_035,Kiara Patel,Nutrition,Female,902319,Instagram,Post
inf_036,Zoya Kumar,Fitness,Female,777982,YouTube,Post
inf_037,Aisha Desai,Health & Wellness,Female,57427,YouTube,Order
inf_038,Myra Singh,Yoga,Female,916276,YouTube,Post
inf_039,Priya Gupta,Fitness,Female,434231,YouTube,Order
inf_040,Aarav Patel,Nutrition,Male,2885691,Instagram,Post
inf_041,Myra Patel,Lifestyle,Female,66371,Instagram,Order
